;Q1;Q2;Q3;Q4;Q5;C1;S1;C2;S2;C3;S3;C4;S4;C5;S5;CTotal;STotal;V1;V2;V3;V4;V5;VTotal;PTotal
0;952;10753;483;11679;3521;2380.0;95.2;16129.5;2150.6;27197.73;144.9;59796.48;4671.6;13591.06;1760.5;119094.76999999999;8822.8;5293.12;35377.37;33278.700000000004;84088.8;22745.66;180783.65;61688.880000000005
1;18625;4845;331;8214;750;46562.5;1862.5;7267.5;969.0;18638.61;99.3;42055.68;3285.6000000000004;2895.0;375.0;117419.29000000001;6591.400000000001;103554.99999999999;15940.05;22805.9;59140.8;4845.0;206286.75;88867.45999999999
2;1964;14642;330;842;17000;4910.0;196.4;21963.0;2928.4;18582.3;99.0;4311.04;336.8;65620.0;8500.0;115386.34;12060.6;10919.839999999998;48172.18;22737.000000000004;6062.400000000001;109820.0;197711.41999999998;82325.07999999999
3;17790;15937;115;3284;6759;44475.0;1779.0;23905.5;3187.4;6475.650000000001;34.5;16814.08;1313.6000000000001;26089.739999999998;3379.5;117759.97;9694.0;98912.4;52432.73;7923.500000000001;23644.8;43663.14;226576.57;108816.6
4;15384;389;1160;27;3813;38460.0;1538.4;583.5;77.80000000000001;65319.600000000006;348.0;138.24;10.8;14718.18;1906.5;119219.52000000002;3881.5;85535.04;1279.81;79924.0;194.4;24631.98;191565.22999999998;72345.70999999996
5;8569;10167;201;2218;14648;21422.5;856.9000000000001;15250.5;2033.4;11318.310000000001;60.3;11356.16;887.2;56541.28;7324.0;115888.75;11161.8;47643.64;33449.43;13848.900000000001;15969.6;94626.08;205537.65000000002;89648.90000000002
6;32;12409;1048;5740;2308;80.0;3.2;18613.5;2481.8;59012.880000000005;314.4;29388.8;2296.0;8908.88;1154.0;116004.06000000001;6249.4;177.92;40825.61;72207.20000000001;41328.0;14909.68;169448.41;53444.34999999999
7;706;9654;1003;7598;2114;1765.0;70.60000000000001;14481.0;1930.8000000000002;56478.93;300.9;38901.76;3039.2000000000003;8160.04;1057.0;119786.73;6398.5;3925.3599999999997;31761.66;69106.70000000001;54705.6;13656.44;173155.76;53369.03000000001
8;15388;10646;268;805;11765;38470.0;1538.8000000000002;15969.0;2129.2000000000003;15091.08;80.39999999999999;4121.6;322.0;45412.9;5882.5;119064.58000000002;9952.900000000001;85557.28;35025.340000000004;18465.2;5796.0;76001.9;220845.72;101781.13999999998
9;15734;12753;242;3744;6536;39335.0;1573.4;19129.5;2550.6000000000004;13627.02;72.6;19169.28;1497.6000000000001;25228.96;3268.0;116489.76000000001;8962.2;87481.04;41957.37;16673.800000000003;26956.8;42222.56;215291.57;98801.81
10;19624;9122;73;6406;4611;49060.0;1962.4;13683.0;1824.4;4110.63;21.9;32798.72;2562.4;17798.46;2305.5;117450.81;8676.6;109109.43999999999;30011.38;5029.700000000001;46123.200000000004;29787.06;220060.78;102609.97
11;4147;15450;1496;133;324;10367.5;414.70000000000005;23175.0;3090.0;84239.76000000001;448.8;680.96;53.2;1250.6399999999999;162.0;119713.86000000002;4168.7;23057.32;50830.5;103074.40000000001;957.6;2093.04;180012.86000000004;60299.00000000003
12;5914;9553;726;1204;10121;14785.0;591.4;14329.5;1910.6000000000001;40881.060000000005;217.79999999999998;6164.4800000000005;481.6;39067.06;5060.5;115227.09999999999;8261.9;32881.84;31429.37;50021.4;8668.800000000001;65381.659999999996;188383.06999999998;73155.96999999999
13;8327;5350;112;7554;11165;20817.5;832.7;8025.0;1070.0;6306.72;33.6;38676.48;3021.6000000000004;43096.9;5582.5;116922.6;10540.400000000001;46298.119999999995;17601.5;7716.800000000001;54388.8;72125.9;198131.12;81208.51999999999
14;9152;6938;53;15028;1733;22880.0;915.2;10407.0;1387.6000000000001;2984.4300000000003;15.899999999999999;76943.36;6011.200000000001;6689.38;866.5;119904.17000000001;9196.400000000001;50885.119999999995;22826.02;3651.7000000000003;108201.6;11195.18;196759.62;76855.44999999998
15;6440;21126;727;1082;6479;16100.0;644.0;31689.0;4225.2;40937.37;218.1;5539.84;432.8;25008.94;3239.5;119275.15;8759.6;35806.399999999994;69504.54;50090.3;7790.400000000001;41854.34;205045.97999999998;85770.82999999999
16;26090;11738;343;2046;932;65225.0;2609.0;17607.0;2347.6;19314.33;102.89999999999999;10475.52;818.4000000000001;3597.52;466.0;116219.37000000001;6343.9;145060.4;38618.02;23632.7;14731.2;6020.72;228063.04;111843.67
17;655;14036;398;32;17924;1637.5;65.5;21054.0;2807.2000000000003;22411.38;119.39999999999999;163.84;12.8;69186.64;8962.0;114453.36;11966.900000000001;3641.7999999999997;46178.44;27422.2;230.4;115789.04;193261.88;78808.52
18;25552;6204;244;2965;3236;63880.0;2555.2000000000003;9306.0;1240.8000000000002;13739.640000000001;73.2;15180.800000000001;1186.0;12490.96;1618.0;114597.4;6673.200000000001;142069.12;20411.16;16811.600000000002;21348.0;20904.56;221544.44;106947.04000000001
19;5357;3649;686;980;13982;13392.5;535.7;5473.5;729.8000000000001;38628.66;205.79999999999998;5017.6;392.0;53970.52;6991.0;116482.78;8854.3;29784.92;12005.210000000001;47265.4;7056.0;90323.72;186435.25;69952.47
20;2407;9444;590;9634;4022;6017.5;240.70000000000002;14166.0;1888.8000000000002;33222.9;177.0;49326.08;3853.6000000000004;15524.92;2011.0;118257.40000000001;8171.1;13382.919999999998;31070.760000000002;40651.0;69364.8;25982.12;180451.59999999998;62194.19999999997
21;4257;22170;628;2382;5918;10642.5;425.70000000000005;33255.0;4434.0;35362.68;188.4;12195.84;952.8000000000001;22843.48;2959.0;114299.49999999999;8959.9;23668.92;72939.3;43269.200000000004;17150.4;38230.28;195258.1;80958.60000000002
22;12169;7821;632;1581;7353;30422.5;1216.9;11731.5;1564.2;35587.92;189.6;8094.72;632.4000000000001;28382.579999999998;3676.5;114219.22;7279.6;67659.64;25731.09;43544.8;11383.2;47500.38;195819.11000000002;81599.89000000001
23;1778;20155;640;1265;11041;4445.0;177.8;30232.5;4031.0;36038.4;192.0;6476.8;506.0;42618.26;5520.5;119810.95999999999;10427.3;9885.679999999998;66309.95;44096.0;9108.0;71324.86;200724.49;80913.53
24;8226;573;1;13188;7342;20565.0;822.6;859.5;114.60000000000001;56.31;0.3;67522.56;5275.200000000001;28340.12;3671.0;117343.48999999999;9883.7;45736.56;1885.17;68.9;94953.6;47429.32;190073.55000000002;72730.06000000003
25;3298;10902;562;6765;6399;8245.0;329.8;16353.0;2180.4;31646.22;168.6;34636.8;2706.0;24700.14;3199.5;115581.16;8584.3;18336.879999999997;35867.58;38721.8;48708.0;41337.54;182971.80000000002;67390.64000000001
26;15449;18389;97;3160;7102;38622.5;1544.9;27583.5;3677.8;5462.070000000001;29.099999999999998;16179.2;1264.0;27413.719999999998;3551.0;115260.99;10066.800000000001;85896.43999999999;60499.81;6683.3;22752.0;45878.92;221710.46999999997;106449.47999999997
27;6543;6697;303;6871;9543;16357.5;654.3000000000001;10045.5;1339.4;17061.93;90.89999999999999;35179.520000000004;2748.4;36835.979999999996;4771.5;115480.43000000001;9604.5;36379.079999999994;22033.13;20876.7;49471.200000000004;61647.78;190407.88999999998;74927.45999999998
28;7039;9581;1342;996;1337;17597.5;703.9000000000001;14371.5;1916.2;75568.02;402.59999999999997;5099.52;398.40000000000003;5160.82;668.5;117797.36000000002;4089.6000000000004;39136.84;31521.49;92463.8;7171.2;8637.02;178930.35;61132.98999999999
29;22344;2519;79;246;14123;55860.0;2234.4;3778.5;503.8;4448.49;23.7;1259.52;98.4;54514.78;7061.5;119861.29;9921.8;124232.63999999998;8287.51;5443.1;1771.2;91234.58;230969.03000000003;111107.74000000003
30;13669;1907;633;6686;3145;34172.5;1366.9;2860.5;381.40000000000003;35644.23;189.9;34232.32;2674.4;12139.699999999999;1572.5;119049.25000000001;6185.1;75999.64;6274.03;43613.700000000004;48139.200000000004;20316.7;194343.27000000002;75294.02
31;1655;19786;1282;2142;236;4137.5;165.5;29679.0;3957.2000000000003;72189.42;384.59999999999997;10967.04;856.8000000000001;910.9599999999999;118.0;117883.92;5482.100000000001;9201.8;65095.94;88329.8;15422.4;1524.56;179574.5;61690.58
32;12333;5859;196;11206;2818;30832.5;1233.3000000000002;8788.5;1171.8;11036.76;58.8;57374.72;4482.400000000001;10877.48;1409.0;118909.96;8355.300000000001;68571.48;19276.11;13504.400000000001;80683.2;18204.28;200239.47;81329.51
33;6855;17225;372;5251;6743;17137.5;685.5;25837.5;3445.0;20947.32;111.6;26885.12;2100.4;26027.98;3371.5;116835.42;9714.0;38113.799999999996;56670.25;25630.800000000003;37807.200000000004;43559.78;201781.83;84946.40999999999
34;3984;12891;1151;2547;3125;9960.0;398.40000000000003;19336.5;2578.2000000000003;64812.810000000005;345.3;13040.64;1018.8000000000001;12062.5;1562.5;119212.45;5903.200000000001;22151.039999999997;42411.39;79303.90000000001;18338.4;20187.5;182392.23;63179.78000000001
35;2897;12529;562;3855;9897;7242.5;289.7;18793.5;2505.8;31646.22;168.6;19737.600000000002;1542.0;38202.42;4948.5;115622.24;9454.6;16107.32;41220.41;38721.8;27756.0;63934.62;187740.15;72117.90999999999
36;8755;14002;840;2602;3070;21887.5;875.5;21003.0;2800.4;47300.4;252.0;13322.24;1040.8;11850.199999999999;1535.0;115363.34;6503.7;48677.799999999996;46066.58;57876.00000000001;18734.4;19832.2;191186.98;75823.64000000001
37;3029;3263;312;5921;15425;7572.5;302.90000000000003;4894.5;652.6;17568.72;93.6;30315.52;2368.4;59540.5;7712.5;119891.74;11130.0;16841.239999999998;10735.27;21496.800000000003;42631.200000000004;99645.5;191350.01;71458.27
