,Q1,Q2,Q3,Q4,Q5,C1,S1,C2,S2,C3,S3,C4,S4,C5,S5,CTotal,STotal,V1,V2,V3,V4,V5,VTotal,PTotal
0,17376,11200,45,888,12554,43440.0,1737.6,16800.0,2240.0,2533.95,13.5,4546.56,355.2,48458.44,6277.0,115778.95,10623.3,96610.56,36848.0,3100.5,6393.6,81098.84,224051.5,108272.55
1,17677,10058,145,286,12983,44192.5,1767.7,15087.0,2011.6,8164.95,43.5,1464.32,114.4,50114.38,6491.5,119023.15,10428.7,98284.12,33090.82,9990.5,2059.2,83870.18,227294.82,108271.67
2,8377,17238,452,1055,10562,20942.5,837.7,25857.0,3447.6,25452.12,135.6,5401.6,422.0,40769.32,5281.0,118422.54,10123.9,46576.12,56713.02,31142.8,7596.0,68230.52,210258.46,91835.92
3,3888,7278,97,17590,334,9720.0,388.8,10917.0,1455.6,5462.07,29.1,90060.8,7036.0,1289.24,167.0,117449.11,9076.5,21617.28,23944.62,6683.3,126648.0,2157.64,181050.84,63601.73
4,11060,11335,659,2149,6566,27650.0,1106.0,17002.5,2267.0,37108.29,197.7,11002.88,859.6,25344.76,3283.0,118108.43,7713.3,61493.6,37292.15,45405.1,15472.8,42416.36,202080.01,83971.58
5,3127,7832,977,3027,7186,7817.5,312.7,11748.0,1566.4,55014.87,293.1,15498.24,1210.8,27737.96,3593.0,117816.57,6976.0,17386.12,25767.28,67315.3,21794.4,46421.56,178684.66,60868.09
6,12188,15971,78,11617,165,30470.0,1218.8,23956.5,3194.2,4392.18,23.4,59479.04,4646.8,636.9,82.5,118934.62,9165.7,67765.28,52544.59,5374.2,83642.4,1065.9,210392.37,91457.75
7,3348,17778,471,2141,11733,8370.0,334.8,26667.0,3555.6,26522.01,141.3,10961.92,856.4,45289.38,5866.5,117810.31,10754.6,18614.88,58489.62,32451.9,15415.2,75795.18,200766.78,82956.47
8,5659,1960,361,13518,2184,14147.5,565.9,2940.0,392.0,20327.91,108.3,69212.16,5407.2,8430.24,1092.0,115057.81,7565.4,31464.04,6448.4,24872.9,97329.6,14108.64,174223.58,59165.77
9,7480,9661,311,3684,11717,18700.0,748.0,14491.5,1932.2,17512.41,93.3,18862.08,1473.6,45227.62,5858.5,114793.61,10105.6,41588.8,31784.69,21427.9,26524.8,75691.82,197018.01,82224.4
10,10011,7381,56,5787,11935,25027.5,1001.1,11071.5,1476.2,3153.36,16.8,29629.44,2314.8,46069.1,5967.5,114950.9,10776.4,55661.16,24283.49,3858.4,41666.4,77100.1,202569.55,87618.65
11,13059,9252,519,4471,4575,32647.5,1305.9,13878.0,1850.4,29224.89,155.7,22891.52,1788.4,17659.5,2287.5,116301.41,7387.9,72608.04,30439.08,35759.1,32191.2,29554.5,200551.92,84250.51
12,10347,3887,635,2266,9113,25867.5,1034.7,5830.5,777.4,35756.85,190.5,11601.92,906.4,35176.18,4556.5,114232.95,7465.5,57529.32,12788.23,43751.5,16315.2,58869.98,189254.23,75021.28
13,12026,8065,615,4706,4853,30065.0,1202.6,12097.5,1613.0,34630.65,184.5,24094.72,1882.4,18732.58,2426.5,119620.45,7309.0,66864.56,26533.85,42373.5,33883.2,31350.38,201005.49,81385.04
14,1199,9509,411,9475,6540,2997.5,119.9,14263.5,1901.8,23143.41,123.3,48512.0,3790.0,25244.4,3270.0,114160.81,9205.0,6666.44,31284.61,28317.9,68220.0,42248.4,176737.35,62576.54
